survey_id,value,domain_desc,unit_desc,short_desc,statisticcat_desc,marketing_id
17562,70.0,TOTAL,COLONIES,"HONEY, BEE COLONIES - LOSS, COLONY COLLAPSE DISORDER, MEASURED IN COLONIES","LOSS, COLONY COLLAPSE DISORDER",JAN THRU MARAL2020
17563,410.0,TOTAL,COLONIES,"HONEY, BEE COLONIES - LOSS, COLONY COLLAPSE DISORDER, MEASURED IN COLONIES","LOSS, COLONY COLLAPSE DISORDER",APR THRU JUNAL2020
17564,140.0,TOTAL,COLONIES,"HONEY, BEE COLONIES - LOSS, COLONY COLLAPSE DISORDER, MEASURED IN COLONIES","LOSS, COLONY COLLAPSE DISORDER",JAN THRU MARAL2019
17565,180.0,TOTAL,COLONIES,"HONEY, BEE COLONIES - LOSS, COLONY COLLAPSE DISORDER, MEASURED IN COLONIES","LOSS, COLONY COLLAPSE DISORDER",JUL THRU SEPAL2019
17566,110.0,TOTAL,COLONIES,"HONEY, BEE COLONIES - LOSS, COLONY COLLAPSE DISORDER, MEASURED IN COLONIES","LOSS, COLONY COLLAPSE DISORDER",OCT THRU DECAL2019
17567,4300.0,TOTAL,COLONIES,"HONEY, BEE COLONIES - LOSS, COLONY COLLAPSE DISORDER, MEASURED IN COLONIES","LOSS, COLONY COLLAPSE DISORDER",JAN THRU MARAZ2020
17568,170.0,TOTAL,COLONIES,"HONEY, BEE COLONIES - LOSS, COLONY COLLAPSE DISORDER, MEASURED IN COLONIES","LOSS, COLONY COLLAPSE DISORDER",APR THRU JUNAZ2020
17569,1500.0,TOTAL,COLONIES,"HONEY, BEE COLONIES - LOSS, COLONY COLLAPSE DISORDER, MEASURED IN COLONIES","LOSS, COLONY COLLAPSE DISORDER",JAN THRU MARAZ2019
17570,770.0,TOTAL,COLONIES,"HONEY, BEE COLONIES - LOSS, COLONY COLLAPSE DISORDER, MEASURED IN COLONIES","LOSS, COLONY COLLAPSE DISORDER",JUL THRU SEPAZ2019
17571,3400.0,TOTAL,COLONIES,"HONEY, BEE COLONIES - LOSS, COLONY COLLAPSE DISORDER, MEASURED IN COLONIES","LOSS, COLONY COLLAPSE DISORDER",OCT THRU DECAZ2019
17572,390.0,TOTAL,COLONIES,"HONEY, BEE COLONIES - LOSS, COLONY COLLAPSE DISORDER, MEASURED IN COLONIES","LOSS, COLONY COLLAPSE DISORDER",JAN THRU MARAR2020
17573,900.0,TOTAL,COLONIES,"HONEY, BEE COLONIES - LOSS, COLONY COLLAPSE DISORDER, MEASURED IN COLONIES","LOSS, COLONY COLLAPSE DISORDER",APR THRU JUNAR2020
17574,320.0,TOTAL,COLONIES,"HONEY, BEE COLONIES - LOSS, COLONY COLLAPSE DISORDER, MEASURED IN COLONIES","LOSS, COLONY COLLAPSE DISORDER",JAN THRU MARAR2019
17575,990.0,TOTAL,COLONIES,"HONEY, BEE COLONIES - LOSS, COLONY COLLAPSE DISORDER, MEASURED IN COLONIES","LOSS, COLONY COLLAPSE DISORDER",JUL THRU SEPAR2019
17576,560.0,TOTAL,COLONIES,"HONEY, BEE COLONIES - LOSS, COLONY COLLAPSE DISORDER, MEASURED IN COLONIES","LOSS, COLONY COLLAPSE DISORDER",OCT THRU DECAR2019
17577,19000.0,TOTAL,COLONIES,"HONEY, BEE COLONIES - LOSS, COLONY COLLAPSE DISORDER, MEASURED IN COLONIES","LOSS, COLONY COLLAPSE DISORDER",JAN THRU MARCA2020
17578,3200.0,TOTAL,COLONIES,"HONEY, BEE COLONIES - LOSS, COLONY COLLAPSE DISORDER, MEASURED IN COLONIES","LOSS, COLONY COLLAPSE DISORDER",APR THRU JUNCA2020
17579,14000.0,TOTAL,COLONIES,"HONEY, BEE COLONIES - LOSS, COLONY COLLAPSE DISORDER, MEASURED IN COLONIES","LOSS, COLONY COLLAPSE DISORDER",JAN THRU MARCA2019
17580,12000.0,TOTAL,COLONIES,"HONEY, BEE COLONIES - LOSS, COLONY COLLAPSE DISORDER, MEASURED IN COLONIES","LOSS, COLONY COLLAPSE DISORDER",JUL THRU SEPCA2019
17581,18500.0,TOTAL,COLONIES,"HONEY, BEE COLONIES - LOSS, COLONY COLLAPSE DISORDER, MEASURED IN COLONIES","LOSS, COLONY COLLAPSE DISORDER",OCT THRU DECCA2019
17582,620.0,TOTAL,COLONIES,"HONEY, BEE COLONIES - LOSS, COLONY COLLAPSE DISORDER, MEASURED IN COLONIES","LOSS, COLONY COLLAPSE DISORDER",JAN THRU MARCO2020
17583,310.0,TOTAL,COLONIES,"HONEY, BEE COLONIES - LOSS, COLONY COLLAPSE DISORDER, MEASURED IN COLONIES","LOSS, COLONY COLLAPSE DISORDER",APR THRU JUNCO2020
17584,1500.0,TOTAL,COLONIES,"HONEY, BEE COLONIES - LOSS, COLONY COLLAPSE DISORDER, MEASURED IN COLONIES","LOSS, COLONY COLLAPSE DISORDER",JAN THRU MARCO2019
17585,1700.0,TOTAL,COLONIES,"HONEY, BEE COLONIES - LOSS, COLONY COLLAPSE DISORDER, MEASURED IN COLONIES","LOSS, COLONY COLLAPSE DISORDER",JUL THRU SEPCO2019
17586,1400.0,TOTAL,COLONIES,"HONEY, BEE COLONIES - LOSS, COLONY COLLAPSE DISORDER, MEASURED IN COLONIES","LOSS, COLONY COLLAPSE DISORDER",OCT THRU DECCO2019
17587,10.0,TOTAL,COLONIES,"HONEY, BEE COLONIES - LOSS, COLONY COLLAPSE DISORDER, MEASURED IN COLONIES","LOSS, COLONY COLLAPSE DISORDER",JAN THRU MARCT2020
17588,0.0,TOTAL,COLONIES,"HONEY, BEE COLONIES - LOSS, COLONY COLLAPSE DISORDER, MEASURED IN COLONIES","LOSS, COLONY COLLAPSE DISORDER",APR THRU JUNCT2020
17589,90.0,TOTAL,COLONIES,"HONEY, BEE COLONIES - LOSS, COLONY COLLAPSE DISORDER, MEASURED IN COLONIES","LOSS, COLONY COLLAPSE DISORDER",JAN THRU MARCT2019
17590,20.0,TOTAL,COLONIES,"HONEY, BEE COLONIES - LOSS, COLONY COLLAPSE DISORDER, MEASURED IN COLONIES","LOSS, COLONY COLLAPSE DISORDER",JUL THRU SEPCT2019
17591,10.0,TOTAL,COLONIES,"HONEY, BEE COLONIES - LOSS, COLONY COLLAPSE DISORDER, MEASURED IN COLONIES","LOSS, COLONY COLLAPSE DISORDER",OCT THRU DECCT2019
17592,11500.0,TOTAL,COLONIES,"HONEY, BEE COLONIES - LOSS, COLONY COLLAPSE DISORDER, MEASURED IN COLONIES","LOSS, COLONY COLLAPSE DISORDER",JAN THRU MARFL2020
17593,19500.0,TOTAL,COLONIES,"HONEY, BEE COLONIES - LOSS, COLONY COLLAPSE DISORDER, MEASURED IN COLONIES","LOSS, COLONY COLLAPSE DISORDER",APR THRU JUNFL2020
17594,3900.0,TOTAL,COLONIES,"HONEY, BEE COLONIES - LOSS, COLONY COLLAPSE DISORDER, MEASURED IN COLONIES","LOSS, COLONY COLLAPSE DISORDER",JAN THRU MARFL2019
17595,6000.0,TOTAL,COLONIES,"HONEY, BEE COLONIES - LOSS, COLONY COLLAPSE DISORDER, MEASURED IN COLONIES","LOSS, COLONY COLLAPSE DISORDER",JUL THRU SEPFL2019
17596,10000.0,TOTAL,COLONIES,"HONEY, BEE COLONIES - LOSS, COLONY COLLAPSE DISORDER, MEASURED IN COLONIES","LOSS, COLONY COLLAPSE DISORDER",OCT THRU DECFL2019
17597,8500.0,TOTAL,COLONIES,"HONEY, BEE COLONIES - LOSS, COLONY COLLAPSE DISORDER, MEASURED IN COLONIES","LOSS, COLONY COLLAPSE DISORDER",JAN THRU MARGA2020
17598,3300.0,TOTAL,COLONIES,"HONEY, BEE COLONIES - LOSS, COLONY COLLAPSE DISORDER, MEASURED IN COLONIES","LOSS, COLONY COLLAPSE DISORDER",APR THRU JUNGA2020
17599,2300.0,TOTAL,COLONIES,"HONEY, BEE COLONIES - LOSS, COLONY COLLAPSE DISORDER, MEASURED IN COLONIES","LOSS, COLONY COLLAPSE DISORDER",JAN THRU MARGA2019
17600,8500.0,TOTAL,COLONIES,"HONEY, BEE COLONIES - LOSS, COLONY COLLAPSE DISORDER, MEASURED IN COLONIES","LOSS, COLONY COLLAPSE DISORDER",JUL THRU SEPGA2019
17601,11000.0,TOTAL,COLONIES,"HONEY, BEE COLONIES - LOSS, COLONY COLLAPSE DISORDER, MEASURED IN COLONIES","LOSS, COLONY COLLAPSE DISORDER",OCT THRU DECGA2019
17602,260.0,TOTAL,COLONIES,"HONEY, BEE COLONIES - LOSS, COLONY COLLAPSE DISORDER, MEASURED IN COLONIES","LOSS, COLONY COLLAPSE DISORDER",JAN THRU MARHI2020
17603,0.0,TOTAL,COLONIES,"HONEY, BEE COLONIES - LOSS, COLONY COLLAPSE DISORDER, MEASURED IN COLONIES","LOSS, COLONY COLLAPSE DISORDER",APR THRU JUNHI2020
17604,80.0,TOTAL,COLONIES,"HONEY, BEE COLONIES - LOSS, COLONY COLLAPSE DISORDER, MEASURED IN COLONIES","LOSS, COLONY COLLAPSE DISORDER",JAN THRU MARHI2019
17605,0.0,TOTAL,COLONIES,"HONEY, BEE COLONIES - LOSS, COLONY COLLAPSE DISORDER, MEASURED IN COLONIES","LOSS, COLONY COLLAPSE DISORDER",JUL THRU SEPHI2019
17606,60.0,TOTAL,COLONIES,"HONEY, BEE COLONIES - LOSS, COLONY COLLAPSE DISORDER, MEASURED IN COLONIES","LOSS, COLONY COLLAPSE DISORDER",OCT THRU DECHI2019
17607,5500.0,TOTAL,COLONIES,"HONEY, BEE COLONIES - LOSS, COLONY COLLAPSE DISORDER, MEASURED IN COLONIES","LOSS, COLONY COLLAPSE DISORDER",JAN THRU MARID2020
17608,2400.0,TOTAL,COLONIES,"HONEY, BEE COLONIES - LOSS, COLONY COLLAPSE DISORDER, MEASURED IN COLONIES","LOSS, COLONY COLLAPSE DISORDER",APR THRU JUNID2020
17609,3700.0,TOTAL,COLONIES,"HONEY, BEE COLONIES - LOSS, COLONY COLLAPSE DISORDER, MEASURED IN COLONIES","LOSS, COLONY COLLAPSE DISORDER",JAN THRU MARID2019
17610,1100.0,TOTAL,COLONIES,"HONEY, BEE COLONIES - LOSS, COLONY COLLAPSE DISORDER, MEASURED IN COLONIES","LOSS, COLONY COLLAPSE DISORDER",JUL THRU SEPID2019
17611,3300.0,TOTAL,COLONIES,"HONEY, BEE COLONIES - LOSS, COLONY COLLAPSE DISORDER, MEASURED IN COLONIES","LOSS, COLONY COLLAPSE DISORDER",OCT THRU DECID2019
17612,520.0,TOTAL,COLONIES,"HONEY, BEE COLONIES - LOSS, COLONY COLLAPSE DISORDER, MEASURED IN COLONIES","LOSS, COLONY COLLAPSE DISORDER",JAN THRU MARIL2020
17613,190.0,TOTAL,COLONIES,"HONEY, BEE COLONIES - LOSS, COLONY COLLAPSE DISORDER, MEASURED IN COLONIES","LOSS, COLONY COLLAPSE DISORDER",APR THRU JUNIL2020
17614,530.0,TOTAL,COLONIES,"HONEY, BEE COLONIES - LOSS, COLONY COLLAPSE DISORDER, MEASURED IN COLONIES","LOSS, COLONY COLLAPSE DISORDER",JAN THRU MARIL2019
17615,100.0,TOTAL,COLONIES,"HONEY, BEE COLONIES - LOSS, COLONY COLLAPSE DISORDER, MEASURED IN COLONIES","LOSS, COLONY COLLAPSE DISORDER",JUL THRU SEPIL2019
17616,380.0,TOTAL,COLONIES,"HONEY, BEE COLONIES - LOSS, COLONY COLLAPSE DISORDER, MEASURED IN COLONIES","LOSS, COLONY COLLAPSE DISORDER",OCT THRU DECIL2019
17617,210.0,TOTAL,COLONIES,"HONEY, BEE COLONIES - LOSS, COLONY COLLAPSE DISORDER, MEASURED IN COLONIES","LOSS, COLONY COLLAPSE DISORDER",JAN THRU MARIN2020
17618,30.0,TOTAL,COLONIES,"HONEY, BEE COLONIES - LOSS, COLONY COLLAPSE DISORDER, MEASURED IN COLONIES","LOSS, COLONY COLLAPSE DISORDER",APR THRU JUNIN2020
17619,150.0,TOTAL,COLONIES,"HONEY, BEE COLONIES - LOSS, COLONY COLLAPSE DISORDER, MEASURED IN COLONIES","LOSS, COLONY COLLAPSE DISORDER",JAN THRU MARIN2019
17620,90.0,TOTAL,COLONIES,"HONEY, BEE COLONIES - LOSS, COLONY COLLAPSE DISORDER, MEASURED IN COLONIES","LOSS, COLONY COLLAPSE DISORDER",JUL THRU SEPIN2019
17621,370.0,TOTAL,COLONIES,"HONEY, BEE COLONIES - LOSS, COLONY COLLAPSE DISORDER, MEASURED IN COLONIES","LOSS, COLONY COLLAPSE DISORDER",OCT THRU DECIN2019
17622,620.0,TOTAL,COLONIES,"HONEY, BEE COLONIES - LOSS, COLONY COLLAPSE DISORDER, MEASURED IN COLONIES","LOSS, COLONY COLLAPSE DISORDER",JAN THRU MARIA2020
17623,440.0,TOTAL,COLONIES,"HONEY, BEE COLONIES - LOSS, COLONY COLLAPSE DISORDER, MEASURED IN COLONIES","LOSS, COLONY COLLAPSE DISORDER",APR THRU JUNIA2020
17624,270.0,TOTAL,COLONIES,"HONEY, BEE COLONIES - LOSS, COLONY COLLAPSE DISORDER, MEASURED IN COLONIES","LOSS, COLONY COLLAPSE DISORDER",JAN THRU MARIA2019
17625,250.0,TOTAL,COLONIES,"HONEY, BEE COLONIES - LOSS, COLONY COLLAPSE DISORDER, MEASURED IN COLONIES","LOSS, COLONY COLLAPSE DISORDER",JUL THRU SEPIA2019
17626,1600.0,TOTAL,COLONIES,"HONEY, BEE COLONIES - LOSS, COLONY COLLAPSE DISORDER, MEASURED IN COLONIES","LOSS, COLONY COLLAPSE DISORDER",OCT THRU DECIA2019
17627,700.0,TOTAL,COLONIES,"HONEY, BEE COLONIES - LOSS, COLONY COLLAPSE DISORDER, MEASURED IN COLONIES","LOSS, COLONY COLLAPSE DISORDER",JAN THRU MARKS2020
17628,270.0,TOTAL,COLONIES,"HONEY, BEE COLONIES - LOSS, COLONY COLLAPSE DISORDER, MEASURED IN COLONIES","LOSS, COLONY COLLAPSE DISORDER",APR THRU JUNKS2020
17629,430.0,TOTAL,COLONIES,"HONEY, BEE COLONIES - LOSS, COLONY COLLAPSE DISORDER, MEASURED IN COLONIES","LOSS, COLONY COLLAPSE DISORDER",JAN THRU MARKS2019
17630,310.0,TOTAL,COLONIES,"HONEY, BEE COLONIES - LOSS, COLONY COLLAPSE DISORDER, MEASURED IN COLONIES","LOSS, COLONY COLLAPSE DISORDER",JUL THRU SEPKS2019
17631,130.0,TOTAL,COLONIES,"HONEY, BEE COLONIES - LOSS, COLONY COLLAPSE DISORDER, MEASURED IN COLONIES","LOSS, COLONY COLLAPSE DISORDER",OCT THRU DECKS2019
17632,140.0,TOTAL,COLONIES,"HONEY, BEE COLONIES - LOSS, COLONY COLLAPSE DISORDER, MEASURED IN COLONIES","LOSS, COLONY COLLAPSE DISORDER",JAN THRU MARKY2020
17633,120.0,TOTAL,COLONIES,"HONEY, BEE COLONIES - LOSS, COLONY COLLAPSE DISORDER, MEASURED IN COLONIES","LOSS, COLONY COLLAPSE DISORDER",APR THRU JUNKY2020
17634,70.0,TOTAL,COLONIES,"HONEY, BEE COLONIES - LOSS, COLONY COLLAPSE DISORDER, MEASURED IN COLONIES","LOSS, COLONY COLLAPSE DISORDER",JAN THRU MARKY2019
17635,200.0,TOTAL,COLONIES,"HONEY, BEE COLONIES - LOSS, COLONY COLLAPSE DISORDER, MEASURED IN COLONIES","LOSS, COLONY COLLAPSE DISORDER",JUL THRU SEPKY2019
17636,110.0,TOTAL,COLONIES,"HONEY, BEE COLONIES - LOSS, COLONY COLLAPSE DISORDER, MEASURED IN COLONIES","LOSS, COLONY COLLAPSE DISORDER",OCT THRU DECKY2019
17637,640.0,TOTAL,COLONIES,"HONEY, BEE COLONIES - LOSS, COLONY COLLAPSE DISORDER, MEASURED IN COLONIES","LOSS, COLONY COLLAPSE DISORDER",JAN THRU MARLA2020
17638,650.0,TOTAL,COLONIES,"HONEY, BEE COLONIES - LOSS, COLONY COLLAPSE DISORDER, MEASURED IN COLONIES","LOSS, COLONY COLLAPSE DISORDER",APR THRU JUNLA2020
17639,550.0,TOTAL,COLONIES,"HONEY, BEE COLONIES - LOSS, COLONY COLLAPSE DISORDER, MEASURED IN COLONIES","LOSS, COLONY COLLAPSE DISORDER",JAN THRU MARLA2019
17640,910.0,TOTAL,COLONIES,"HONEY, BEE COLONIES - LOSS, COLONY COLLAPSE DISORDER, MEASURED IN COLONIES","LOSS, COLONY COLLAPSE DISORDER",JUL THRU SEPLA2019
17641,810.0,TOTAL,COLONIES,"HONEY, BEE COLONIES - LOSS, COLONY COLLAPSE DISORDER, MEASURED IN COLONIES","LOSS, COLONY COLLAPSE DISORDER",OCT THRU DECLA2019
17642,60.0,TOTAL,COLONIES,"HONEY, BEE COLONIES - LOSS, COLONY COLLAPSE DISORDER, MEASURED IN COLONIES","LOSS, COLONY COLLAPSE DISORDER",JAN THRU MARME2020
17643,0.0,TOTAL,COLONIES,"HONEY, BEE COLONIES - LOSS, COLONY COLLAPSE DISORDER, MEASURED IN COLONIES","LOSS, COLONY COLLAPSE DISORDER",APR THRU JUNME2020
17644,10.0,TOTAL,COLONIES,"HONEY, BEE COLONIES - LOSS, COLONY COLLAPSE DISORDER, MEASURED IN COLONIES","LOSS, COLONY COLLAPSE DISORDER",JAN THRU MARME2019
17645,10.0,TOTAL,COLONIES,"HONEY, BEE COLONIES - LOSS, COLONY COLLAPSE DISORDER, MEASURED IN COLONIES","LOSS, COLONY COLLAPSE DISORDER",JUL THRU SEPME2019
17646,100.0,TOTAL,COLONIES,"HONEY, BEE COLONIES - LOSS, COLONY COLLAPSE DISORDER, MEASURED IN COLONIES","LOSS, COLONY COLLAPSE DISORDER",OCT THRU DECME2019
17647,380.0,TOTAL,COLONIES,"HONEY, BEE COLONIES - LOSS, COLONY COLLAPSE DISORDER, MEASURED IN COLONIES","LOSS, COLONY COLLAPSE DISORDER",JAN THRU MARMD2020
17648,0.0,TOTAL,COLONIES,"HONEY, BEE COLONIES - LOSS, COLONY COLLAPSE DISORDER, MEASURED IN COLONIES","LOSS, COLONY COLLAPSE DISORDER",APR THRU JUNMD2020
17649,50.0,TOTAL,COLONIES,"HONEY, BEE COLONIES - LOSS, COLONY COLLAPSE DISORDER, MEASURED IN COLONIES","LOSS, COLONY COLLAPSE DISORDER",JAN THRU MARMD2019
17650,50.0,TOTAL,COLONIES,"HONEY, BEE COLONIES - LOSS, COLONY COLLAPSE DISORDER, MEASURED IN COLONIES","LOSS, COLONY COLLAPSE DISORDER",JUL THRU SEPMD2019
17651,260.0,TOTAL,COLONIES,"HONEY, BEE COLONIES - LOSS, COLONY COLLAPSE DISORDER, MEASURED IN COLONIES","LOSS, COLONY COLLAPSE DISORDER",OCT THRU DECMD2019
17652,150.0,TOTAL,COLONIES,"HONEY, BEE COLONIES - LOSS, COLONY COLLAPSE DISORDER, MEASURED IN COLONIES","LOSS, COLONY COLLAPSE DISORDER",JAN THRU MARMA2020
17653,50.0,TOTAL,COLONIES,"HONEY, BEE COLONIES - LOSS, COLONY COLLAPSE DISORDER, MEASURED IN COLONIES","LOSS, COLONY COLLAPSE DISORDER",APR THRU JUNMA2020
17654,50.0,TOTAL,COLONIES,"HONEY, BEE COLONIES - LOSS, COLONY COLLAPSE DISORDER, MEASURED IN COLONIES","LOSS, COLONY COLLAPSE DISORDER",JAN THRU MARMA2019
17655,170.0,TOTAL,COLONIES,"HONEY, BEE COLONIES - LOSS, COLONY COLLAPSE DISORDER, MEASURED IN COLONIES","LOSS, COLONY COLLAPSE DISORDER",JUL THRU SEPMA2019
17656,410.0,TOTAL,COLONIES,"HONEY, BEE COLONIES - LOSS, COLONY COLLAPSE DISORDER, MEASURED IN COLONIES","LOSS, COLONY COLLAPSE DISORDER",OCT THRU DECMA2019
17657,1400.0,TOTAL,COLONIES,"HONEY, BEE COLONIES - LOSS, COLONY COLLAPSE DISORDER, MEASURED IN COLONIES","LOSS, COLONY COLLAPSE DISORDER",JAN THRU MARMI2020
17658,420.0,TOTAL,COLONIES,"HONEY, BEE COLONIES - LOSS, COLONY COLLAPSE DISORDER, MEASURED IN COLONIES","LOSS, COLONY COLLAPSE DISORDER",APR THRU JUNMI2020
17659,3300.0,TOTAL,COLONIES,"HONEY, BEE COLONIES - LOSS, COLONY COLLAPSE DISORDER, MEASURED IN COLONIES","LOSS, COLONY COLLAPSE DISORDER",JAN THRU MARMI2019
17660,1800.0,TOTAL,COLONIES,"HONEY, BEE COLONIES - LOSS, COLONY COLLAPSE DISORDER, MEASURED IN COLONIES","LOSS, COLONY COLLAPSE DISORDER",JUL THRU SEPMI2019
17661,2600.0,TOTAL,COLONIES,"HONEY, BEE COLONIES - LOSS, COLONY COLLAPSE DISORDER, MEASURED IN COLONIES","LOSS, COLONY COLLAPSE DISORDER",OCT THRU DECMI2019
17662,6500.0,TOTAL,COLONIES,"HONEY, BEE COLONIES - LOSS, COLONY COLLAPSE DISORDER, MEASURED IN COLONIES","LOSS, COLONY COLLAPSE DISORDER",JAN THRU MARMN2020
17663,870.0,TOTAL,COLONIES,"HONEY, BEE COLONIES - LOSS, COLONY COLLAPSE DISORDER, MEASURED IN COLONIES","LOSS, COLONY COLLAPSE DISORDER",APR THRU JUNMN2020
17664,1900.0,TOTAL,COLONIES,"HONEY, BEE COLONIES - LOSS, COLONY COLLAPSE DISORDER, MEASURED IN COLONIES","LOSS, COLONY COLLAPSE DISORDER",JAN THRU MARMN2019
17665,2400.0,TOTAL,COLONIES,"HONEY, BEE COLONIES - LOSS, COLONY COLLAPSE DISORDER, MEASURED IN COLONIES","LOSS, COLONY COLLAPSE DISORDER",JUL THRU SEPMN2019
17666,1300.0,TOTAL,COLONIES,"HONEY, BEE COLONIES - LOSS, COLONY COLLAPSE DISORDER, MEASURED IN COLONIES","LOSS, COLONY COLLAPSE DISORDER",OCT THRU DECMN2019
17667,800.0,TOTAL,COLONIES,"HONEY, BEE COLONIES - LOSS, COLONY COLLAPSE DISORDER, MEASURED IN COLONIES","LOSS, COLONY COLLAPSE DISORDER",JAN THRU MARMS2020
17668,260.0,TOTAL,COLONIES,"HONEY, BEE COLONIES - LOSS, COLONY COLLAPSE DISORDER, MEASURED IN COLONIES","LOSS, COLONY COLLAPSE DISORDER",APR THRU JUNMS2020
17669,160.0,TOTAL,COLONIES,"HONEY, BEE COLONIES - LOSS, COLONY COLLAPSE DISORDER, MEASURED IN COLONIES","LOSS, COLONY COLLAPSE DISORDER",JAN THRU MARMS2019
17670,610.0,TOTAL,COLONIES,"HONEY, BEE COLONIES - LOSS, COLONY COLLAPSE DISORDER, MEASURED IN COLONIES","LOSS, COLONY COLLAPSE DISORDER",JUL THRU SEPMS2019
17671,470.0,TOTAL,COLONIES,"HONEY, BEE COLONIES - LOSS, COLONY COLLAPSE DISORDER, MEASURED IN COLONIES","LOSS, COLONY COLLAPSE DISORDER",OCT THRU DECMS2019
17672,160.0,TOTAL,COLONIES,"HONEY, BEE COLONIES - LOSS, COLONY COLLAPSE DISORDER, MEASURED IN COLONIES","LOSS, COLONY COLLAPSE DISORDER",JAN THRU MARMO2020
17673,200.0,TOTAL,COLONIES,"HONEY, BEE COLONIES - LOSS, COLONY COLLAPSE DISORDER, MEASURED IN COLONIES","LOSS, COLONY COLLAPSE DISORDER",APR THRU JUNMO2020
17674,340.0,TOTAL,COLONIES,"HONEY, BEE COLONIES - LOSS, COLONY COLLAPSE DISORDER, MEASURED IN COLONIES","LOSS, COLONY COLLAPSE DISORDER",JAN THRU MARMO2019
